"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Получение региона по ID","tests","2026-07-02","passed","2026-07-02","TestAreasMocked","test_mocks","",""
"","0","Получение регионов (фильтр по типу)","tests","2026-07-02","passed","2026-07-02","TestAreasMocked","test_mocks","",""
"","1","Areas list response has correct structure","tests.contract","2026-07-02","passed","2026-07-02","TestAreasContract","test_contract","",""
"","1","Получение списка всех регионов","tests","2026-07-02","passed","2026-07-02","TestAreasMocked","test_mocks","",""
"","1","Похожие вакансии возвращают список","tests","2026-07-02","passed","2026-07-02","TestVacancyDetailMocked","test_mocks","",""
"","1","Bearer tokens are masked in log messages","tests.security","2026-07-02","passed","2026-07-02","TestSensitiveDataMasking","test_security","",""
"","1","Поиск возвращает вакансии с правильной структурой","tests","2026-07-02","passed","2026-07-02","TestVacanciesSearchMocked","test_mocks","",""
"","2","Поиск возвращает пустой список когда нет результатов","tests","2026-07-02","passed","2026-07-02","TestVacanciesSearchMocked","test_mocks","",""
"","1","Валидатор проверяет наличие ключей","tests","2026-07-02","passed","2026-07-02","TestResponseValidatorMocked","test_mocks","",""
"","1","Получение всех справочников","tests","2026-07-02","passed","2026-07-02","TestDictionariesMocked","test_mocks","",""
"","1","Поиск с фильтрами передает параметры в URL","tests","2026-07-02","passed","2026-07-02","TestVacanciesSearchMocked","test_mocks","",""
"","1","404 при получении несуществующей вакансии","tests","2026-07-02","passed","2026-07-02","TestVacancyDetailMocked","test_mocks","",""
"","1","Получение конкретного справочника по имени","tests","2026-07-02","passed","2026-07-02","TestDictionariesMocked","test_mocks","",""
"","1","Получение вакансии по ID возвращает корректные данные","tests","2026-07-02","passed","2026-07-02","TestVacancyDetailMocked","test_mocks","",""
"","1","Валидатор проверяет статус код","tests","2026-07-02","passed","2026-07-02","TestResponseValidatorMocked","test_mocks","",""
"","1","Vacancy detail has required fields","tests.contract","2026-07-02","passed","2026-07-02","TestVacanciesContract","test_contract","",""
"","1","Responses don't contain sensitive server info","tests.security","2026-07-02","passed","2026-07-02","TestResponseSecurity","test_security","",""
"","1","Authorization header is not logged in plain text","tests.security","2026-07-02","passed","2026-07-02","TestRequestSecurity","test_security","",""
"","1","Dictionaries response has required fields","tests.contract","2026-07-02","passed","2026-07-02","TestDictionariesContract","test_contract","",""
"","1","Rate limiting headers are respected","tests.security","2026-07-02","passed","2026-07-02","TestResponseSecurity","test_security","",""
"","1","Обработка 500 ошибки сервера","tests","2026-07-02","passed","2026-07-02","TestErrorHandlingMocked","test_mocks","",""
"","1","Search response matches JSON schema","tests.contract","2026-07-02","passed","2026-07-02","TestVacanciesContract","test_contract","",""
"","1","Обработка 403 Forbidden","tests","2026-07-02","passed","2026-07-02","TestErrorHandlingMocked","test_mocks","",""
"","0","API keys are masked in log messages","tests.security","2026-07-02","passed","2026-07-02","TestSensitiveDataMasking","test_security","",""
"","1","Поиск с параметром зарплаты","tests","2026-07-02","passed","2026-07-02","TestVacanciesSearchMocked","test_mocks","",""
"","0","Пагинация работает корректно","tests","2026-07-02","passed","2026-07-02","TestVacanciesSearchMocked","test_mocks","",""
"","0","Long hex strings are masked (potential secrets)","tests.security","2026-07-02","passed","2026-07-02","TestSensitiveDataMasking","test_security","",""
"","1","Обработка 429 Too Many Requests","tests","2026-07-02","passed","2026-07-02","TestErrorHandlingMocked","test_mocks","",""
"","1","Обработка 400 Bad Request","tests","2026-07-02","passed","2026-07-02","TestErrorHandlingMocked","test_mocks","",""
"","1","Валидатор проверяет json_path","tests","2026-07-02","passed","2026-07-02","TestResponseValidatorMocked","test_mocks","",""
"","1","HTTPS is used for API requests","tests.security","2026-07-02","passed","2026-07-02","TestRequestSecurity","test_security","",""
