"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Error Handling","4","0","Обработка ошибок","0"
"0","","0","Vacancies API","5","0","Поиск вакансий","0"
"0","","0","Response Validator","3","0","Валидация ответов","0"
"0","","0","Areas API","3","0","Регионы","0"
"0","","0","Security Testing","3","0","Sensitive Data Masking","0"
"0","","0","Security Testing","2","0","Response Validation","0"
"0","","0","Vacancies API","3","0","Детали вакансии","0"
"0","","0","Contract Testing","2","0","Vacancies API Contract","0"
"0","","0","Dictionaries API","2","0","Справочники","0"
"0","","0","Contract Testing","1","0","Dictionaries API Contract","0"
"0","","0","Contract Testing","1","0","Areas API Contract","0"
"0","","0","Security Testing","2","0","Request Security","0"
